,kunnr,kunwe,kunwe_label,kunwe_y,rank
0,999999999,2000410611,others,2002254365,1.0
1,2002213887,2000079120,2000079120,2000079120,2.0
2,2002213887,2002798569,2002798569,2002798569,3.0
3,2002213888,2001388083,others,2001453126,1.0
4,2002213887,2002798569,2002798569,2002798569,3.0
5,2002213918,2002213918,2002213918,2002213918,8.0
6,2002213918,2002213918,2002213918,2002213918,8.0
7,2002213918,2002213918,2002213918,2002213918,8.0
8,2002213918,2002213918,2002213918,2002213918,8.0
9,2002213918,2002213918,2002213918,2002213918,8.0
10,2002213918,2002213918,2002213918,2002213918,8.0
11,2002213918,2002213918,2002213918,2002213918,8.0
12,2002213918,2002213918,2002213918,2002213918,8.0
13,2002213963,2000031166,2000031166,2000031166,5.0
14,999999999,2001005182,others,2002254365,1.0
15,2002213918,2002213918,2002213918,2002213918,8.0
16,2002213918,2002213918,2002213918,2002213918,8.0
17,2002213918,2002213918,2002213918,2002213918,8.0
18,2002213918,2002213918,2002213918,2002213918,8.0
19,2002213918,2002213918,2002213918,2002213918,8.0
20,2002213918,2002213918,2002213918,2002213918,8.0
21,2002213918,2002213918,2002213918,2002213918,8.0
22,2002213918,2002213918,2002213918,2002213918,8.0
23,2002213918,2002213918,2002213918,2002213918,8.0
24,2002213918,2002213918,2002213918,2002213918,8.0
25,999999999,2000008478,others,2002254365,1.0
26,2002213887,2000511811,2000511811,2000511811,13.0
27,2002213887,2002798569,2002798569,2002798569,3.0
28,2002213918,2002213918,2002213918,2002213918,8.0
29,999999999,2000008478,others,2002254365,1.0
30,2002213887,2000079120,2000079120,2000079120,2.0
31,2002213888,2002399649,others,2001453126,1.0
32,2002213918,2002213918,2002213918,2002213918,8.0
33,2002213918,2002213918,2002213918,2002213918,8.0
34,2002213918,2002213918,2002213918,2002213918,8.0
35,2002213918,2002213918,2002213918,2002213918,8.0
36,2002213918,2002213918,2002213918,2002213918,8.0
37,2002213918,2002213918,2002213918,2002213918,8.0
38,2002213918,2002213918,2002213918,2002213918,8.0
39,2002213918,2002213918,2002213918,2002213918,8.0
40,2002213918,2002213918,2002213918,2002213918,8.0
41,2002213887,2002798569,2002798569,2002798569,3.0
42,2002213918,2002213918,2002213918,2002213918,8.0
43,2002213918,2002213918,2002213918,2002213918,8.0
44,2002213918,2002213918,2002213918,2002213918,8.0
45,2002213918,2002213918,2002213918,2002213918,8.0
46,2002213918,2002213918,2002213918,2002213918,8.0
47,2002213946,2001593943,others,2001442456,2.0
48,2002213975,2002213975,2002213975,2002213975,1.0
49,2002213918,2002213918,2002213918,2002213918,8.0
50,2002213918,2002213918,2002213918,2002213918,8.0
51,2002213918,2002213918,2002213918,2002213918,8.0
52,2002213918,2002213918,2002213918,2002213918,8.0
53,2002213918,2002213918,2002213918,2002213918,8.0
54,2002213918,2002213918,2002213918,2002213918,8.0
55,2002213918,2002213918,2002213918,2002213918,8.0
56,999999999,2000008478,others,2002254365,1.0
57,2002213918,2002213918,2002213918,2002213918,8.0
58,2002213918,2002213918,2002213918,2002213918,8.0
59,2002213918,2002213918,2002213918,2002213918,8.0
60,2002213918,2002213918,2002213918,2002213918,8.0
61,2002213888,2000081520,others,2001453126,1.0
62,2002213918,2002213918,2002213918,2002213918,8.0
63,2002213918,2002213918,2002213918,2002213918,8.0
64,2002213918,2002213918,2002213918,2002213918,8.0
65,2002213918,2002213918,2002213918,2002213918,8.0
66,2002213918,2002213918,2002213918,2002213918,8.0
67,2002253691,2002253691,2002253691,2002253691,2.0
68,2002213887,2000074093,2000074093,2000074093,11.0
69,2002213918,2002213918,2002213918,2002213918,8.0
70,2002213918,2002213918,2002213918,2002213918,8.0
71,2002213918,2002213918,2002213918,2002213918,8.0
72,2002213918,2002213918,2002213918,2002213918,8.0
73,2002213918,2002213918,2002213918,2002213918,8.0
74,2002213918,2002213918,2002213918,2002213918,8.0
75,2002213963,2000015072,2000015072,2000015072,11.0
76,2002213918,2002213918,2002213918,2002213918,8.0
77,2002213918,2002213918,2002213918,2002213918,8.0
78,2002213918,2002213918,2002213918,2002213918,8.0
79,2002213918,2002213918,2002213918,2002213918,8.0
80,2002213918,2002213918,2002213918,2002213918,8.0
81,2002213918,2002213918,2002213918,2002213918,8.0
82,2002213918,2002213918,2002213918,2002213918,8.0
83,2002253691,2002744236,2002744236,2002744236,1.0
84,2002213918,2002213918,2002213918,2002213918,8.0
85,2002213918,2002213918,2002213918,2002213918,8.0
86,2002213918,2002213918,2002213918,2002213918,8.0
87,2002213887,2002798569,2002798569,2002798569,3.0
88,2002213887,2000511811,2000511811,2000511811,13.0
89,2002213887,2000511811,2000511811,2000511811,13.0
90,2002213887,2000007093,2000007093,2000007093,5.0
91,2002213887,2000074093,2000074093,2000074093,11.0
92,2002213887,2001431615,2001431615,2001431615,8.0
93,2002213894,2000081425,2000081425,2000081425,10.0
94,2002213897,2000016944,others,2000016944,1.0
95,2002213888,2000081520,others,2001453126,1.0
96,2002213918,2002213918,2002213918,2002213918,8.0
97,2002213918,2002213918,2002213918,2002213918,8.0
98,2002213918,2002213918,2002213918,2002213918,8.0
99,999999999,2000410611,others,2002254365,1.0
100,999999999,2000079758,others,2002254365,1.0
101,2002213887,2002856131,others,2002479890,1.0
102,2002213918,2002213918,2002213918,2002213918,8.0
103,2002213918,2002213918,2002213918,2002213918,8.0
104,999999999,2002213962,others,2002254365,1.0
105,2002213906,2000853687,others,2000853687,2.0
106,2002214026,2000003692,others,2002687101,2.0
107,999999999,2000008478,others,2002254365,1.0
108,2002213887,2000434009,2000434009,2000434009,6.0
109,2002213981,2002213981,2002213981,2002213981,82.0
110,2002213963,2000008622,2000008622,2000008622,14.0
111,999999999,2000410611,others,2002254365,1.0
112,2002213918,2002213918,2002213918,2002213918,8.0
113,999999999,2000008478,others,2002254365,1.0
114,2002213887,2000074093,2000074093,2000074093,11.0
115,2002213918,2002213918,2002213918,2002213918,8.0
116,2002213918,2002213918,2002213918,2002213918,8.0
117,2002253691,2001802322,2001802322,2001802322,3.0
118,2002213981,2002213981,2002213981,2002213981,82.0
119,2002213918,2002213918,2002213918,2002213918,8.0
120,2002213896,2000015477,2000015477,2000015477,4.0
121,2002213887,2000079120,2000079120,2000079120,2.0
122,2002213918,2002213918,2002213918,2002213918,8.0
123,2002214045,2000078471,others,2000022296,1.0
124,2002213918,2002213918,2002213918,2002213918,8.0
125,2002213887,2000511811,2000511811,2000511811,13.0
126,2002213888,2001388084,others,2001453126,1.0
127,2002213918,2002213918,2002213918,2002213918,8.0
128,2002213981,2002213981,2002213981,2002213981,82.0
129,2002214045,2000078471,others,2000022296,1.0
130,2002214045,2000078471,others,2000022296,1.0
131,2002213918,2002213918,2002213918,2002213918,8.0
132,2002213918,2002213918,2002213918,2002213918,8.0
133,2002213918,2002213918,2002213918,2002213918,8.0
134,2002253140,2000059402,2000059402,2000059402,3.0
135,2002213918,2002213918,2002213918,2002213918,8.0
136,2002213918,2002213918,2002213918,2002213918,8.0
137,2002214045,2002214045,2002214045,2002214045,2.0
138,2002214045,2002214045,2002214045,2002214045,2.0
139,2002213918,2002213918,2002213918,2002213918,8.0
140,2002213918,2002213918,2002213918,2002213918,8.0
141,2002213918,2002213918,2002213918,2002213918,8.0
142,2002213918,2002213918,2002213918,2002213918,8.0
143,2002213981,2002213981,2002213981,2002213981,82.0
144,2002213981,2002213981,2002213981,2002213981,82.0
145,2002214045,2002214045,2002214045,2002214045,2.0
146,2002213963,2001404457,2001404457,2001404457,10.0
147,2002253256,2002253256,2002253256,2002253256,1.0
148,2002214045,2002214045,2002214045,2002214045,2.0
149,2002214045,2000078471,others,2000022296,1.0
150,2002214045,2000078471,others,2000022296,1.0
151,2002214045,2000078471,others,2000022296,1.0
152,2002213895,2002837501,2002837501,2002837501,8.0
153,2002213896,2000061442,2000061442,2000061442,2.0
154,2002213981,2002213981,2002213981,2002213981,82.0
155,2002214045,2000078471,others,2000022296,1.0
156,2002214045,2002214045,2002214045,2002214045,2.0
157,2002214045,2002214045,2002214045,2002214045,2.0
158,2002213981,2002213981,2002213981,2002213981,82.0
159,2002213981,2002213981,2002213981,2002213981,82.0
160,2002214045,2002214045,2002214045,2002214045,2.0
161,2002214045,2002214045,2002214045,2002214045,2.0
162,2002214045,2000078471,others,2000022296,1.0
163,2002214045,2000078471,others,2000022296,1.0
164,2002213918,2002213918,2002213918,2002213918,8.0
165,2002213918,2002213918,2002213918,2002213918,8.0
166,2002253691,2002744236,2002744236,2002744236,1.0
167,2002253691,2000848719,2000848719,2000848719,3.0
168,2002213918,2002213918,2002213918,2002213918,8.0
169,2002213918,2002213918,2002213918,2002213918,8.0
170,2002213918,2002213918,2002213918,2002213918,8.0
171,2002213918,2002213918,2002213918,2002213918,8.0
172,2002213918,2002213918,2002213918,2002213918,8.0
173,2002213918,2002213918,2002213918,2002213918,8.0
174,2002213887,2000356302,2000356302,2000356302,4.0
175,2002213981,2002213981,2002213981,2002213981,82.0
176,2002213918,2002213918,2002213918,2002213918,8.0
177,2002213918,2002213918,2002213918,2002213918,8.0
178,2002214045,2000078471,others,2000022296,1.0
179,2002214045,2002214045,2002214045,2002214045,2.0
180,2002213918,2002213918,2002213918,2002213918,8.0
181,2002213918,2002213918,2002213918,2002213918,8.0
182,2002213918,2002213918,2002213918,2002213918,8.0
183,2002213918,2002213918,2002213918,2002213918,8.0
184,999999999,2002254365,others,2002254365,1.0
185,2002213981,2002213981,2002213981,2002213981,82.0
186,2002213853,2000012822,2000012822,2000012822,4.0
187,2002213981,2002213981,2002213981,2002213981,82.0
188,2002213918,2002213918,2002213918,2002213918,8.0
189,2002253256,2002253256,2002253256,2002253256,1.0
190,2002213981,2002213981,2002213981,2002213981,82.0
191,2002213981,2002213981,2002213981,2002213981,82.0
192,2002213981,2002213981,2002213981,2002213981,82.0
193,2002213981,2002213981,2002213981,2002213981,82.0
194,2002214045,2000078471,others,2000022296,1.0
195,2002214045,2002214045,2002214045,2002214045,2.0
196,2002214045,2000078471,others,2000022296,1.0
197,2002214045,2000078471,others,2000022296,1.0
198,2002214045,2000078471,others,2000022296,1.0
199,2002214045,2002214045,2002214045,2002214045,2.0
200,2002213981,2002213981,2002213981,2002213981,82.0
201,2002213918,2002213918,2002213918,2002213918,8.0
202,2002213918,2002213918,2002213918,2002213918,8.0
203,2002213981,2002213981,2002213981,2002213981,82.0
204,2002213981,2002213981,2002213981,2002213981,82.0
205,2002213879,2002213879,2002213879,2002213879,5.0
206,2002213981,2002213981,2002213981,2002213981,82.0
207,2002213981,2002213981,2002213981,2002213981,82.0
208,2002213918,2002213918,2002213918,2002213918,8.0
209,2002213918,2002213918,2002213918,2002213918,8.0
210,2002214045,2002214045,2002214045,2002214045,2.0
211,2002214045,2000078471,others,2000022296,1.0
212,2002214045,2002214045,2002214045,2002214045,2.0
213,2002214045,2000078471,others,2000022296,1.0
214,2002214045,2000078471,others,2000022296,1.0
